Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Bunyoro,Kagadi District,7,7,14,11466,7628,19094.0,18912,10501,29413,6188,4697,10885,6654,5787.0,12441,5,6,11,10358,6922,17280,16506,9284.0,25790,5830,5117,10947,5588,4291,9879,63907,6,6,12,10741,7150,17891,17220,9548,26768,6006,5265,11271,5740,4426,10166,883,1660,2543,43227,28620,71847,6661,5794,12455,351033.0,471111.0,1420.0,418806.2219,294.9339591,0.95,30.8,2020,152.59324398303548,294.933959084507
Bunyoro,Kakumiro District,10,9,19,10767,6852,17619.0,13591,6496,20087,5509,4631,10140,6382,5537.0,11919,10,9,19,10185,6515,16700,12300,5949.0,18249,6068,5212,11280,5300,4444,9744,55992,10,9,19,10473,6703,17176,12860,6134,18994,6194,5353,11547,5456,4585,10041,578,1487,2065,36259,23525,59784,6392,5546,11938,293108.0,428176.0,1701.0,367946.3179,216.3117683,1.0028,31.3084,2020,152.17437239096773,216.3117683127572
Teso,Kalaki District,6,5,11,5715,2650,8365.0,5622,2475,8097,3237,2697,5934,2632,2457.0,5089,6,5,11,5705,2650,8355,5622,2485.0,8107,2632,2457,5089,3237,2697,5934,27496,5,5,10,5558,2573,8131,5405,2392,7797,2524,2350,4874,3129,2628,5757,318,518,836,17212,10284,27496,2638,2462,5100,109874.0,149736.0,658.0,132298.1315,201.0609902,0.0,0.0,2020,207.83362310751912,201.06099012158052
South Central,Kalangala District,8,9,17,1758,1681,3439.0,4628,4646,9274,1103,1022,2125,1454,1385.0,2839,8,9,17,1698,1656,3354,4442,4462.0,8904,1337,1273,2610,1052,999,2051,16936,8,9,17,1650,1613,3263,4246,4295,8541,1301,1230,2531,1030,968,1998,309,343,652,8951,8743,17694,1462,1394,2856,54293.0,74411.0,452.0,65596.37205,145.1247169,0.6351,32.5373,2020,258.185010401044,145.12471692477877
Busoga,Kaliro District,123,81,204,13510,6919,20429.0,26248,13948,40196,9909,6983,16892,18873,17085.0,35958,113,67,180,13411,6817,20228,25994,13751.0,39745,18638,16875,35513,9797,6909,16706,112372,110,65,175,13285,6783,20068,25824,13686,39510,18593,16789,35382,9676,6840,16516,2701,3935,6636,68663,45016,113679,18996,17166,36162,286397.0,236199.0,779.0,255125.7054,327.5041148,0.8927,33.5028,2020,440.4573808970642,327.50411476251605
South Central,Kalungu District,20,8,28,6863,6113,12976.0,7872,4984,12856,3823,3828,7651,3234,3369.0,6603,14,8,22,6758,6007,12765,7660,4813.0,12473,3155,3278,6433,3779,3753,7532,39225,15,8,23,6385,5660,12045,7360,4622,11982,3040,3068,6108,3573,3525,7098,200,670,870,21812,18302,40114,3254,3377,6631,174368.0,221569.0,790.0,201322.4065,254.8384892,0.0953,31.7651,2020,194.83673318796733,254.83848924050633
Kampala,Kampala,515,517,1032,23437,20420,43857.0,59809,51325,111134,17347,16115,33462,28036,18860.0,46896,218,210,428,15541,13792,29333,35843,33120.0,68963,12834,11998,24832,10997,10144,21141,144697,234,227,461,15065,13681,28746,35732,33809,69541,12835,12017,24852,10845,9949,20794,1220,3966,5186,129144,107237,236381,28551,19377,47928,1507080.0,1797722.0,195.0,1675282.464,8591.192123,0.3152,32.5816,2020,86.37170334518586,8591.192123076922
Kampala,Kampala District,515,517,1032,23437,20420,43857.0,59809,51325,111134,17347,16115,33462,28036,18860.0,46896,218,210,428,15541,13792,29333,35843,33120.0,68963,12834,11998,24832,10997,10144,21141,144697,234,227,461,15065,13681,28746,35732,33809,69541,12835,12017,24852,10845,9949,20794,1220,3966,5186,129144,107237,236381,28551,19377,47928,1507080.0,1797722.0,195.0,1675282.464,8591.192123,0.3152,32.5816,2020,86.37170334518586,8591.192123076922
Busoga,Kamuli District,44,33,77,47740,25528,73268.0,87075,40753,127828,29868,21268,51136,48360,40111.0,88471,24,17,41,47026,24921,71947,85083,39417.0,124500,47597,39469,87066,29249,20762,50011,333565,24,17,41,45761,24257,70018,82330,38405,120735,46313,38479,84792,28336,20166,48502,4216,7887,12103,213087,127693,340780,48404,40144,88548,486319.0,540252.0,1515.0,517995.9032,341.9114872,0.9187,33.1239,2020,643.9529693948359,341.91148726072606
Tooro,Kamwenge District,55,54,109,26475,18634,45109.0,35180,18654,53834,15983,12418,28401,19367,17437.0,36804,57,52,109,25241,17750,42991,33679,17718.0,51397,18497,16554,35051,15329,12248,27577,157125,57,104,161,24717,16306,41023,32482,17171,49653,17785,16048,33833,14922,11545,26467,1094,5325,6419,97060,67197,164257,19422,17491,36913,270668.0,337167.0,1695.0,308803.2075,182.1847832,0.2903,30.574,2020,508.8191967695154,182.18478318584073
Kigezi,Kanungu District,9,10,19,12287,9808,22095.0,16454,10516,26970,6035,4945,10980,5106,4424.0,9530,7,10,17,12004,9582,21586,16017,10170.0,26187,4935,4289,9224,5850,4806,10656,67670,7,10,17,11890,9467,21357,15870,10059,25929,4884,4231,9115,5813,4755,10568,161,449,610,39891,29703,69594,5115,4434,9549,252144.0,310062.0,1275.0,285449.0367,223.8815974,0.8195,0.0,2020,237.0650844799295,223.88159741176472
Bugisu,Kapchorwa District,20,15,35,1033,875,1908.0,2527,1923,4450,525,446,971,425,406.0,831,9,6,15,891,768,1659,2091,1605.0,3696,327,331,658,466,372,838,6866,9,6,15,868,758,1626,2046,1580,3626,321,327,648,459,368,827,13,47,60,4530,3665,8195,445,421,866,105186.0,133621.0,212.0,121424.9705,572.7592948,1.3514,34.3754,2020,56.545206243224904,572.7592948113207
Teso,Kapelebyong District,31,20,51,15259,7072,22331.0,14844,5052,19896,7750,5446,13196,7228,7059.0,14287,30,19,49,15120,7050,22170,14650,5020.0,19670,7112,6592,13704,7750,5443,13193,68786,30,19,49,14809,6908,21717,14359,4922,19281,7025,6482,13507,7618,5366,12984,495,1086,1581,45112,24649,69761,7259,7079,14338,87580.0,143536.0,1203.0,117798.1527,97.92032643,2.211,33.7518,2020,583.9310585385775,97.92032643391522
Karamoja,Karamoja,339,308,647,69973,43177,113150.0,103226,50912,154138,48178,38649,86827,125908,117173.0,243081,195,162,357,65071,39901,104972,90335,44995.0,135330,117926,109507,227433,45369,36241,81610,549702,347,206,553,64895,39693,104588,91191,45504,136695,117462,109011,226473,44906,35952,80858,2794,7355,10149,347624,250219,597843,126247,117481,243728,965010.0,1496117.0,27407.0,1255428.722,45.806864,2.8309,34.1532,2020,437.85998389799465,45.806864012843434
Karamoja,Karenga District,1,1,2,5208,3032,8240.0,7388,3079,10467,2470,1839,4309,4977,5003.0,9980,1,1,2,4442,2547,6989,6037,2680.0,8717,4443,4310,8753,2188,1665,3853,28314,1,1,2,5006,2894,7900,7083,2991,10074,4764,4776,9540,2340,1733,4073,205,729,934,20044,12954,32998,4978,5004,9982,51233.0,100375.0,25702.0,76699.97985,2.98420278,3.5691,33.6931,2020,369.1526393536595,2.9842027799393045
Tooro,Kasese District,80,60,140,32148,27492,59640.0,53391,35425,88816,15871,13696,29567,14750,13646.0,28396,43,31,74,28945,24803,53748,45526,30721.0,76247,12131,11550,23681,13983,12193,26176,179926,43,31,74,28826,25785,54611,45620,30754,76374,11925,11451,23376,13892,12214,26106,577,1468,2045,116240,90319,206559,14830,13706,28536,694987.0,853831.0,2795.0,786346.2565,281.3403422,0.1699,0.0,2020,228.81268717529653,281.34034221824686
North Central,Kassanda District,16,10,26,10823,8164,18987.0,17409,10518,27927,7306,6363,13669,7600,7104.0,14704,14,4,18,10506,8052,18558,17242,10049.0,27291,7441,6940,14381,7218,6231,13449,73697,30,6,36,10104,7734,17838,15913,9572,25485,7151,6649,13800,6898,5962,12860,741,1551,2292,43154,32159,75313,7616,7114,14730,271544.0,314008.0,1819.0,296278.7557,162.8800196,0.5761,31.7195,2020,248.7421004110826,162.8800196261682
Teso,Katakwi District,9,5,14,29301,19147,48448.0,29442,13849,43291,14776,11406,26182,15681,14581.0,30262,7,5,12,36172,15046,51218,28872,13762.0,42634,15593,14500,30093,14718,11658,26376,150333,7,5,12,28227,14549,42776,28520,13627,42147,15417,14352,29769,14578,11252,25830,2233,4200,6433,89209,58988,148197,15690,14586,30276,166231.0,234332.0,2306.0,204260.2064,88.57771312,1.9142,33.9583,2020,735.9877023995801,88.5777130962706
North Central,Kayunga District,75,64,139,27071,16511,43582.0,34106,18262,52368,17849,14689,32538,23279,21391.0,44670,72,60,132,26917,16441,43358,33935,17854.0,51789,23102,21254,44356,17715,14586,32301,171936,66,50,116,26535,16230,42765,33385,17684,51069,22745,20856,43601,17458,14405,31863,1801,3746,5547,102380,70917,173297,23354,21455,44809,368062.0,439175.0,1596.0,409214.4479,256.40003,0.7014,32.9029,2020,420.16111816759735,256.4000300125314
Ankole,Kazo District,2,1,3,8566,6756,15322.0,11623,7364,18987,4323,3798,8121,3054,2561.0,5615,2,1,3,7943,6396,14339,10106,6620.0,16726,2851,2375,5226,4090,3612,7702,43996,4,1,5,7617,6036,13653,9746,6234,15980,2767,2288,5055,3932,3452,7384,138,341,479,27568,20480,48048,3056,2562,5618,177054.0,208898.0,1558.0,195525.2574,125.4975978,0.3576,32.5571,2020,225.01440778054695,125.49759781771502
Bunyoro,Kibaale District,19,12,31,7363,4818,12181.0,9728,5882,15610,3992,3171,7163,5092,4823.0,9915,16,10,26,6929,4554,11483,8970,5294.0,14264,4748,4524,9272,3723,2975,6698,41743,16,10,26,6783,4433,11216,8720,5225,13945,4690,4457,9147,3668,2920,6588,473,1631,2104,26194,18706,44900,5111,4835,9946,140947.0,237649.0,1153.0,192834.1418,167.2455696,0.8088,31.0335,2020,216.47100254318138,167.24556964440592
North Central,Kiboga District,4,6,10,8653,7605,16258.0,12305,9360,21665,5446,4978,10424,5578,5481.0,11059,4,6,10,8582,7504,16086,12117,8903.0,21020,5475,5369,10844,5405,4949,10354,58314,30,6,36,8456,7435,15891,11826,8674,20500,5393,5273,10666,5559,4900,10459,172,529,701,31986,27430,59416,5582,5487,11069,148218.0,183255.0,1586.0,168342.5414,106.1428382,0.8658,31.9473,2020,346.4008533733589,106.14283820933164
Bukedi,Kibuku District,2,3,5,2219,1260,3479.0,3066,1089,4155,1705,1406,3111,2332,2150.0,4482,2,3,5,2188,1248,3436,2998,1067.0,4065,2314,2146,4460,1689,1397,3086,15052,2,3,5,2188,1248,3436,2998,1067,4065,2312,2146,4458,1689,1397,3086,121,229,350,9324,5908,15232,2334,2153,4487,202033.0,249441.0,484.0,229271.2657,473.7009621,1.0453,33.7993,2020,65.65148909543443,473.70096219008263
Kigezi,Kigezi,46,32,78,22505,19110,41615.0,35367,27571,62938,10646,9057,19703,10422,9211.0,19633,19,17,36,21343,18212,39555,32203,25337.0,57540,9330,8164,17494,10068,8492,18560,133185,19,15,34,20922,17783,38705,53080,24741,77821,9097,7939,17036,9885,8334,18219,324,952,1276,78986,64981,143967,10468,9243,19711,1376774.0,1787231.0,4993.0,1610102.319,322.4719246,0.2667,31.6167,2020,82.71834555378962,322.471924494292
Bunyoro,Kikuube District,27,29,56,21640,13479,35119.0,29490,16471,45961,12880,10031,22911,19864,18548.0,38412,25,28,53,19841,12289,32130,26649,15109.0,41758,18459,17164,35623,11930,9244,21174,130738,24,26,50,19901,12304,32205,27270,15270,42540,18631,17599,36230,11965,9289,21254,1310,3439,4749,83901,58558,142459,19891,18577,38468,267455.0,379547.0,2098.0,329958.7323,157.2729896,1.2375,30.9876,2020,396.22530699121614,157.272989656816
Ankole,Kiruhura District,0,0,0,3402,3158,6560.0,5863,4681,10544,1677,1612,3289,1572,1550.0,3122,0,0,0,3400,3155,6555,5863,4676.0,10539,1572,1549,3121,1676,1612,3288,23503,1,1,2,3400,3154,6554,5853,4667,10520,1571,1547,3118,1676,1612,3288,49,226,275,12514,11001,23515,1572,1550,3122,151023.0,203502.0,3003.0,180616.9259,60.14549647,0.322,30.8039,2020,130.1262319845518,60.14549647019647
Bunyoro,Kiryandongo District,26,19,45,24250,18814,43064.0,145500,11664,157164,12379,10244,22623,16794,16040.0,32834,25,19,44,23580,18192,41772,22412,10973.0,33385,16433,15695,32128,12114,10052,22166,129495,23,16,39,22863,17114,39977,21632,10712,32344,15787,15026,30813,12006,9619,21625,1524,3148,4672,198949,56781,255730,16820,16059,32879,266197.0,364872.0,3582.0,321636.6907,89.79248763,2.018,32.0837,2020,402.6126488186754,89.79248763260748
Kigezi,Kisoro District,1,5,6,1236,1403,2639.0,3149,3104,6253,694,660,1354,986,951.0,1937,0,2,2,1058,1248,2306,2381,2563.0,4944,652,594,1246,583,541,1124,9622,0,2,2,1000,1159,2159,23847,2445,26292,612,553,1165,549,506,1055,8,45,53,6066,6123,12189,987,956,1943,281705.0,433662.0,690.0,364929.2236,528.8829328,1.1539,29.6499,2020,26.366756559202564,528.8829327536232
Tooro,Kitagwenda District,9,8,17,8077,5964,14041.0,10352,5746,16098,3652,3054,6706,4381,3502.0,7883,7,8,15,7873,5855,13728,10032,5600.0,15632,4154,3357,7511,3577,2988,6565,43451,7,7,14,7632,5678,13310,9473,5307,14780,3896,3111,7007,3378,2840,6218,336,764,1100,26471,18274,44745,4390,3510,7900,143786.0,184947.0,677.0,167230.318,247.0167178,0.0,0.0,2020,259.82728801604026,247.01671787296897
Acholi,Kitgum District,45,37,82,43752,26231,69983.0,42231,16154,58385,21341,17099,38440,25976,26443.0,52419,36,37,73,41818,25077,66895,38520,14457.0,52977,24575,24843,49418,20470,16281,36751,206114,36,36,72,39903,23980,63883,37998,13903,51901,36660,23815,60475,19592,15539,35131,1017,2040,3057,133345,85964,219309,26021,26480,52501,204048.0,239655.0,4391.0,224721.6078,51.1777745,3.3397,33.1689,2020,917.1970689326832,51.17777449328171
West Nile,Koboko District,19,19,38,27367,12712,40079.0,33204,10261,43465,17381,13005,30386,22578,20911.0,43489,18,18,36,26461,12286,38747,30921,9237.0,40158,21590,20145,41735,16650,12504,29154,149830,16,18,34,26115,12186,38301,30854,9289,40143,21514,20046,41560,16817,12443,29260,996,2366,3362,100549,56908,157457,22597,20930,43527,206495.0,271781.0,739.0,243497.9288,329.4965207,3.5237,31.0335,2020,615.3235090679752,329.4965207036536
Lango,Kole District,7,7,14,25013,10753,35766.0,28261,9352,37613,10993,7875,18868,14751,13519.0,28270,6,7,13,24806,10666,35472,27984,9263.0,37247,14626,13411,28037,10913,7804,18717,119486,6,7,13,24450,10441,34891,27460,9134,36594,14465,13179,27644,10723,7663,18386,2162,5047,7209,79025,41506,120531,14758,13526,28284,239327.0,294301.0,1073.0,270939.1235,252.5061728,2.3031,0.0,2020,441.00681531879246,252.50617287977633
Karamoja,Kotido District,95,100,195,10108,5805,15913.0,17619,7828,25447,7716,5713,13429,27245,24519.0,51764,66,66,132,9606,5549,15155,15482,7024.0,22506,26164,23499,49663,7553,5519,13072,100528,59,59,118,9286,5368,14654,15128,6926,22054,24998,22341,47339,7200,5438,12638,423,1125,1548,62783,43965,106748,27340,24619,51959,181050.0,219734.0,3610.0,203356.3642,56.33140284,3.0352,0.0,2020,494.3440073561268,56.331402825484766
Teso,Kumi District,37,38,75,27875,14442,42317.0,44195,19862,64057,15237,11458,26695,18959,17596.0,36555,26,32,58,27783,14378,42161,44104,19556.0,63660,18822,17463,36285,15181,11450,26631,168795,26,32,58,27213,14313,41526,43231,18990,62221,18448,17146,35594,14959,11223,26182,1244,2599,3843,106303,63396,169699,18996,17634,36630,239268.0,286992.0,1005.0,266855.2321,265.5275941,1.4877,33.9304,2020,632.5339723402784,265.52759412935325
Lango,Kwania District,35,30,65,22108,9718,31826.0,25261,10544,35805,10679,7720,18399,14525,13431.0,27956,34,29,63,23740,9588,33328,24391,10174.0,34565,14307,12344,26651,10454,7595,18049,112656,31,27,58,20469,8896,29365,23554,9625,33179,13175,11459,24634,9841,7108,16949,784,1607,2391,72608,41443,114051,14560,13461,28021,183304.0,216125.0,1223.0,202344.6754,165.4494484,1.9033,32.7633,2020,556.752974978456,165.4494484055601
Bugisu,Kween District,3,3,6,1740,1811,3551.0,3499,2998,6497,701,741,1442,614,601.0,1215,3,3,6,1655,1754,3409,3276,2869.0,6145,586,558,1144,687,724,1411,12115,3,3,6,1504,1634,3138,2945,2649,5594,527,498,1025,598,645,1243,46,106,152,6557,6154,12711,617,604,1221,93667.0,129277.0,851.0,113644.2334,133.5419899,1.4126,34.5528,2020,106.60461721236794,133.54198989424208
North Central,Kyankwanzi District,14,9,23,6392,4227,10619.0,10067,5854,15921,4031,3182,7213,4705,4436.0,9141,12,8,20,5896,4043,9939,8971,5365.0,14336,4396,4201,8597,3844,3034,6878,39770,13,9,22,5564,3730,9294,8430,5047,13477,4042,3890,7932,3543,2780,6323,901,1247,2148,25209,17708,42917,4719,4445,9164,214693.0,278432.0,2455.0,250933.4988,102.2132378,1.2061,31.8164,2020,158.4882058002851,102.21323780040733
Tooro,Kyegegwa District,42,28,70,40279,22717,62996.0,55701,26831,82532,17791,15061,32852,20253,19070.0,39323,27,16,43,26669,20492,47161,38466,24197.0,62663,18255,17157,35412,16374,13730,30104,175383,21,13,34,28908,21440,50348,39804,24493,64297,17319,17498,34817,16518,13793,30311,827,2070,2897,134066,83707,217773,20295,19098,39393,281637.0,501120.0,1882.0,397961.3775,211.4566299,0.4818,31.055,2020,440.70357053681676,211.45662991498406
Tooro,Kyenjojo District,64,59,123,13533,9665,23198.0,19814,12633,32447,7065,5860,12925,8483,7596.0,16079,56,54,110,13189,9324,22513,18939,11972.0,30911,8099,7338,15437,6809,5520,12329,81300,48,51,99,13094,9279,22373,18500,11788,30288,8323,7304,15627,6787,5550,12337,469,984,1453,48959,35813,84772,8547,7655,16202,422204.0,543998.0,2352.0,491549.5685,208.9921635,0.6093,30.6401,2020,165.39532370680942,208.99216347789115
South Central,Kyotera District,21,13,34,18502,15969,34471.0,22928,14833,37761,10932,9804,20736,8884,8559.0,17443,21,13,34,18502,15969,34471,22928,14833.0,37761,8884,8559,17443,10932,9804,20736,110445,21,13,34,18502,15969,34471,22928,14833,37761,8884,8559,17443,10932,9804,20736,340,1042,1382,61267,49178,110445,8905,8572,17477,239563.0,275917.0,1723.0,260756.3978,151.3385942,0.6359,31.5456,2020,423.55624226988766,151.33859419616948
Acholi,Lamwo District,16,20,36,58962,41452,100414.0,38295,13266,51561,26623,22891,49514,27089,26321.0,53410,14,20,34,58514,41213,99727,37627,12941.0,50568,26817,26060,52877,26570,22721,49291,252497,14,20,34,58452,41171,99623,37585,12909,50494,26783,26033,52816,26542,22687,49229,877,2344,3221,150985,103950,254935,27105,26341,53446,134371.0,213156.0,5588.0,177231.4362,31.71643454,3.491,32.808,2020,1424.673892023677,31.716434538296348
Lango,Lango,264,241,505,190912,90982,281894.0,232934,89701,322635,89907,67516,157423,109198,99636.0,208834,235,212,447,188434,88949,277383,220525,86475.0,307000,105694,96547,202241,88078,66005,154083,941154,229,208,437,183146,86926,270072,216124,84703,300827,102821,94427,197248,86198,64419,150617,11761,23758,35519,623215,348076,971291,109462,99877,209339,2061694.0,2546118.0,12856.0,2340005.074,182.0165739,0.0,0.0,2020,402.20169197804057,182.01657389545738
Lango,Lira City,33,33,66,7564,4105,11669.0,14559,6735,21294,4177,3387,7564,7116,6131.0,13247,18,23,41,7095,3769,10864,13088,6042.0,19130,5771,5626,11397,3853,3041,6894,48326,19,25,44,7769,3652,11421,12654,5806,18460,5412,5370,10782,3740,2879,6619,337,1203,1540,33449,20391,53840,7149,6164,13313,207482.0,245132.0,285.0,229314.8477,804.6135008,2.2596,32.8903,2020,210.74082417559913,804.6135007017544
Lango,Lira District,22,15,37,14771,6780,21551.0,21581,7714,29295,7214,5225,12439,9892,8756.0,18648,23,15,38,13468,6307,19775,18314,6793.0,25107,9120,8136,17256,6921,4966,11887,74063,20,15,35,12556,6021,18577,17272,6374,23646,8720,7798,16518,6626,4706,11332,354,881,1235,53480,28490,81970,9914,8771,18685,200561.0,242216.0,1046.0,224605.4506,214.7279642,2.2316,32.9438,2020,329.74711790008536,214.72796424474188
Busoga,Luuka District,73,45,118,27949,13899,41848.0,44769,18314,63083,20088,13877,33965,31004,25721.0,56725,72,41,113,26805,13264,40069,42635,17504.0,60139,29599,24582,54181,19215,13258,32473,186975,83,42,125,26922,13423,40345,42982,17638,60620,29967,24804,54771,19187,13342,32529,1769,4201,5970,123883,71856,195739,31077,25766,56843,238020.0,298639.0,650.0,272730.2396,419.5849839,0.7251,33.3037,2020,685.5675420306419,419.58498399999996
North Central,Luwero District,83,59,142,30912,26298,57210.0,36602,24039,60641,20920,19069,39989,18300,17698.0,35998,37,43,80,28534,27751,56285,32307,21454.0,53761,16620,16056,32676,19507,17729,37236,180038,38,43,81,28661,24573,53234,32249,21673,53922,16662,16064,32726,19601,17827,37428,1347,2602,3949,106817,87163,193980,18383,17757,36140,456958.0,616242.0,2216.0,546765.7355,246.7354402,0.8271,0.0,2020,329.27813195053443,246.7354402075812
South Central,Lwengo District,60,47,107,11757,8815,20572.0,15692,8036,23728,6291,5503,11794,6176,6169.0,12345,39,32,71,10610,8321,18931,11117,6585.0,17702,5263,4962,10225,5960,5188,11148,58077,39,33,72,10569,8309,18878,11045,6554,17599,5256,4948,10204,5928,5178,11106,207,622,829,39976,28570,68546,6236,6216,12452,262604.0,325263.0,988.0,298580.4256,302.2069085,0.4165,31.3999,2020,194.5104066460276,302.2069085020243
South Central,Lyantonde District,1,3,4,4770,4289,9059.0,7017,5013,12030,2876,2519,5395,2067,1971.0,4038,1,2,3,4705,4251,8956,6897,4933.0,11830,2031,1951,3982,2843,2495,5338,30109,1,1,2,4355,3980,8335,6448,4603,11051,1849,1814,3663,2639,2292,4931,100,249,349,16731,13795,30526,2068,1974,4042,93753.0,133017.0,887.0,115648.0618,130.3811294,0.2241,31.2168,2020,260.3502344213087,130.38112942502818
West Nile,Madi-Okollo District,19,22,41,27750,19415,47165.0,27913,10216,38129,16191,12844,29035,18405,18467.0,36872,17,20,37,27076,18939,46015,26959,9850.0,36809,18094,17974,36068,15924,12708,28632,147561,17,20,37,26694,18621,45315,26799,9811,36610,18019,17906,35925,15749,12583,28332,863,2801,3664,90278,60964,151242,18424,18489,36913,140188.0,178051.0,2048.0,161812.097,79.00981301,2.8218,31.2168,2020,911.9281112832991,79.00981298828125
Bugisu,Manafwa District,8,8,16,9580,6076,15656.0,14563,8241,22804,5130,4330,9460,8036,6766.0,14802,8,7,15,8682,5634,14316,12928,6982.0,19910,7350,6217,13567,4651,3929,8580,56388,8,7,15,9040,5835,14875,13617,7729,21346,7532,6405,13937,4940,4172,9112,454,670,1124,37317,25421,62738,8044,6774,14818,149544.0,186917.0,237.0,170960.9327,721.3541462,0.0,0.0,2020,329.8297401017864,721.3541464135021
West Nile,Maracha District,28,17,45,30315,15863,46178.0,30562,10089,40651,17158,12379,29537,15626,14209.0,29835,29,18,47,30007,15673,45680,29659,9557.0,39216,15444,13939,29383,16999,12273,29272,143598,28,17,45,29525,15255,44780,29130,9455,38585,15039,13555,28594,16669,12017,28686,1326,2759,4085,93689,52557,146246,15654,14226,29880,186134.0,234712.0,440.0,213920.0348,486.1818973,3.2873,30.9403,2020,671.2695243073138,486.18189727272727
South Central,Masaka City,7,6,13,3197,2987,6184.0,6094,4501,10595,1835,1724,3559,2003,1951.0,3954,7,5,12,3061,2883,5944,5735,4248.0,9983,1855,1810,3665,1735,1625,3360,22964,7,4,11,3087,2880,5967,5769,4243,10012,1825,1795,3620,1713,1606,3319,175,462,637,13136,11169,24305,2010,1957,3967,211591.0,294166.0,340.0,257842.4158,758.3600464,0.3427,31.7369,2020,89.06215033996746,758.3600464705881
South Central,Masaka District,4,3,7,3153,2959,6112.0,4709,3350,8059,1774,1584,3358,1364,1311.0,2675,4,3,7,3124,2939,6063,4641,3302.0,7943,1339,1289,2628,1762,1572,3334,19975,4,3,7,3041,2833,5874,4541,3262,7803,1321,1263,2584,1731,1545,3276,107,303,410,11004,9207,20211,1368,1314,2682,106626.0,115455.0,855.0,111838.9019,130.8057332,0.4464,31.9018,2020,178.60511557830307,130.80573321637428
